expt,treatment1,treatment2,rep,DP,conc,DPn,bin
cilantro,1,100,1,DP 29,0.081110561,29,inulin
cilantro,1,100,3,DP 29,0.079755826,29,inulin
cilantro,10,100,2,DP 29,0.01622503,29,inulin
cilantro,10,100,3,DP 29,0.024485283,29,inulin
cilantro,25,100,1,DP 29,-0.001840396,29,inulin
cilantro,25,100,3,DP 29,-0.000573861,29,inulin
cilantro,50,100,2,DP 29,-0.001840396,29,inulin
cilantro,50,100,3,DP 29,-0.001840396,29,inulin
cilantro,100,100,1,DP 29,0.000275129,29,inulin
cilantro,100,100,2,DP 29,-0.001840396,29,inulin
cilantro,0,0,2,DP 30,-0.001155273,30,inulin
cilantro,0,0,3,DP 30,0.001155273,30,inulin
cilantro,0,100,1,DP 30,0.059512607,30,inulin
cilantro,0,100,3,DP 30,0.050131377,30,inulin
cilantro,0.1,100,1,DP 30,0.079824874,30,inulin
cilantro,0.1,100,3,DP 30,0.038204026,30,inulin
cilantro,1,100,1,DP 30,0.070152485,30,inulin
cilantro,1,100,3,DP 30,0.075448104,30,inulin
cilantro,10,100,2,DP 30,-0.010121477,30,inulin
cilantro,10,100,3,DP 30,0.021809236,30,inulin
cilantro,25,100,1,DP 30,-0.005358196,30,inulin
cilantro,25,100,3,DP 30,0.00440897,30,inulin
cilantro,50,100,2,DP 30,-0.006809849,30,inulin
cilantro,50,100,3,DP 30,-0.006985169,30,inulin
cilantro,100,100,1,DP 30,0.002956338,30,inulin
cilantro,100,100,2,DP 30,-0.008675846,30,inulin
cilantro,0,0,2,DP 48,-0.001326577,48,inulin
cilantro,0,0,3,DP 48,0.001326577,48,inulin
cilantro,0,100,1,DP 48,0.02129772,48,inulin
cilantro,0,100,3,DP 48,0.021260917,48,inulin
cilantro,0.1,100,1,DP 48,0.018318829,48,inulin
cilantro,0.1,100,3,DP 48,0.018655113,48,inulin
cilantro,1,100,1,DP 48,0.016929443,48,inulin
cilantro,1,100,3,DP 48,0.013302243,48,inulin
cilantro,10,100,2,DP 48,-0.007059919,48,inulin
cilantro,10,100,3,DP 48,0.00207582,48,inulin
cilantro,25,100,1,DP 48,0.002945603,48,inulin
cilantro,25,100,3,DP 48,0.002868107,48,inulin
cilantro,50,100,2,DP 48,0.0110109,48,inulin
cilantro,50,100,3,DP 48,0.011494406,48,inulin
cilantro,100,100,1,DP 48,-0.001847241,48,inulin
cilantro,100,100,2,DP 48,-0.001434553,48,inulin
cilantro,0,0,2,DP 11,0,11,inulin
cilantro,0,0,3,DP 11,0,11,inulin
cilantro,0,100,1,DP 11,0.073553452,11,inulin
cilantro,0,100,3,DP 11,0.079806761,11,inulin
cilantro,0.1,100,1,DP 11,0.066151299,11,inulin
cilantro,0.1,100,3,DP 11,0.07832078,11,inulin
cilantro,1,100,1,DP 11,0.082051232,11,inulin
cilantro,1,100,3,DP 11,0.081869963,11,inulin
cilantro,10,100,2,DP 11,0.049695668,11,inulin
cilantro,10,100,3,DP 11,0.036623719,11,inulin
cilantro,25,100,1,DP 11,0,11,inulin
cilantro,25,100,3,DP 11,0,11,inulin
cilantro,50,100,2,DP 11,0,11,inulin
cilantro,50,100,3,DP 11,0,11,inulin
cilantro,100,100,1,DP 11,0,11,inulin
cilantro,100,100,2,DP 11,0,11,inulin
cilantro,0,0,2,DP 15,0,15,inulin
cilantro,0,0,3,DP 15,0,15,inulin
cilantro,0,100,1,DP 15,0.119959348,15,inulin
cilantro,0,100,3,DP 15,0.115427267,15,inulin
cilantro,0.1,100,1,DP 15,0.115950893,15,inulin
cilantro,0.1,100,3,DP 15,0.104839614,15,inulin
cilantro,1,100,1,DP 15,0.108272999,15,inulin
cilantro,1,100,3,DP 15,0.118747798,15,inulin
cilantro,10,100,2,DP 15,0.024143628,15,inulin
cilantro,10,100,3,DP 15,0.164434336,15,inulin
cilantro,25,100,1,DP 15,0,15,inulin
cilantro,25,100,3,DP 15,0,15,inulin
cilantro,50,100,2,DP 15,0,15,inulin
cilantro,50,100,3,DP 15,0,15,inulin
cilantro,100,100,1,DP 15,0,15,inulin
cilantro,100,100,2,DP 15,0,15,inulin
cilantro,0,0,2,DP 18,0,18,inulin
cilantro,0,0,3,DP 18,0,18,inulin
cilantro,0,100,1,DP 18,0.113831001,18,inulin
cilantro,0,100,3,DP 18,0.107391961,18,inulin
cilantro,0.1,100,1,DP 18,0.100700333,18,inulin
cilantro,0.1,100,3,DP 18,0.094669205,18,inulin
cilantro,1,100,1,DP 18,0.085632548,18,inulin
cilantro,1,100,3,DP 18,0.086932965,18,inulin
cilantro,10,100,2,DP 18,0.020343345,18,inulin
cilantro,10,100,3,DP 18,0.023792635,18,inulin
cilantro,25,100,1,DP 18,0,18,inulin
cilantro,25,100,3,DP 18,0,18,inulin
cilantro,50,100,2,DP 18,0,18,inulin
cilantro,50,100,3,DP 18,0,18,inulin
cilantro,100,100,1,DP 18,0,18,inulin
cilantro,100,100,2,DP 18,0,18,inulin
cilantro,0,0,2,DP 19,0,19,inulin
cilantro,0,0,3,DP 19,0,19,inulin
cilantro,0,100,1,DP 19,0.111409395,19,inulin
cilantro,0,100,3,DP 19,0.103269841,19,inulin
cilantro,0.1,100,1,DP 19,0.09758227,19,inulin
cilantro,0.1,100,3,DP 19,0.090274264,19,inulin
cilantro,1,100,1,DP 19,0.083128821,19,inulin
cilantro,1,100,3,DP 19,0.086513826,19,inulin
cilantro,10,100,2,DP 19,0.010541155,19,inulin
cilantro,10,100,3,DP 19,0.024967069,19,inulin
cilantro,25,100,1,DP 19,0,19,inulin
cilantro,25,100,3,DP 19,0,19,inulin
cilantro,50,100,2,DP 19,0,19,inulin
cilantro,50,100,3,DP 19,0,19,inulin
cilantro,100,100,1,DP 19,0,19,inulin
cilantro,100,100,2,DP 19,0,19,inulin
cilantro,0,0,2,DP 20,0,20,inulin
cilantro,0,0,3,DP 20,0,20,inulin
cilantro,0,100,1,DP 20,0.109931627,20,inulin
cilantro,0,100,3,DP 20,0.101365535,20,inulin
cilantro,0.1,100,1,DP 20,0.096894832,20,inulin
cilantro,0.1,100,3,DP 20,0.086791324,20,inulin
cilantro,1,100,1,DP 20,0.07705437,20,inulin
cilantro,1,100,3,DP 20,0.082505508,20,inulin
cilantro,10,100,2,DP 20,0,20,inulin
cilantro,10,100,3,DP 20,0.021589627,20,inulin
cilantro,25,100,1,DP 20,0,20,inulin
