"doses","amt","rep","DP","conc"
"2","1:04","1","DP 50",0
"2","1:04","2","DP 50",0.0129054653378506
"2","1:04","3","DP 50",0.00750415398396
"2","norm","1","DP 50",0.0159965510160813
"2","norm","2","DP 50",0.0135744710791654
"2","norm","3","DP 50",0.0141042614556235
"1","2x","1","DP 50",0.013380127342162
"1","2x","2","DP 50",0.0170162132280733
"1","2x","3","DP 50",0.0170947678314047
"1","1:04","1","DP 51",0.0134306648431397
"1","1:04","2","DP 51",0.0160634430032764
"1","1:04","3","DP 51",0
"2","1:04","1","DP 51",0
"2","1:04","2","DP 51",0.0102036356986885
"2","1:04","3","DP 51",0
"2","norm","1","DP 51",0.0108800182696858
"2","norm","2","DP 51",0.00879968215831291
"2","norm","3","DP 51",0.00834491216497792
"1","2x","1","DP 51",0.0111712837885047
"1","2x","2","DP 51",0.0136313401462018
"1","2x","3","DP 51",0.0117532311615066
"1","1:04","1","DP 85",0
"1","1:04","2","DP 85",0
"1","1:04","3","DP 85",0
"2","1:04","1","DP 85",0
"2","1:04","2","DP 85",0
"2","1:04","3","DP 85",0
"2","norm","1","DP 85",0.0102634250619266
"2","norm","2","DP 85",0.0077735025069301
"2","norm","3","DP 85",0
"1","2x","1","DP 85",0
"1","2x","2","DP 85",0
"1","2x","3","DP 85",0.00869066574188503
"1","1:04","1","DP 52",0.0124461622305686
"1","1:04","2","DP 52",0.0116729208788711
"1","1:04","3","DP 52",0
"2","1:04","1","DP 52",0
"2","1:04","2","DP 52",0
"2","1:04","3","DP 52",0
"2","norm","1","DP 52",0.00725614266966752
"2","norm","2","DP 52",0
"2","norm","3","DP 52",0
"1","2x","1","DP 52",0.0106777356684067
"1","2x","2","DP 52",0
"1","2x","3","DP 52",0.00892593784060612
"1","1:04","1","DP 53",0.010166937113969
"1","1:04","2","DP 53",0
"1","1:04","3","DP 53",0
"2","1:04","1","DP 53",0
"2","1:04","2","DP 53",0
"2","1:04","3","DP 53",0
"2","norm","1","DP 53",0
"2","norm","2","DP 53",0
"2","norm","3","DP 53",0
"1","2x","1","DP 53",0.00887277837098577
