"","pre.treatment","rep","conc"
"655","Sigma Dahlia",1,0.0139942925218673
"656","Sigma Dahlia",2,0.00909118216506348
"657","Sigma Dahlia",3,0.0105765030425168
"658","NOW",1,0.0230140503941894
"659","NOW",2,0.0294285713362571
"660","NOW",3,0.0247608365902933
"661","Sigma Chicory",1,0.0196508214987959
"662","Sigma Chicory",2,0.0251496185862344
"663","Sigma Chicory",3,0.0182632582439541
"664","fructose",1,0.0577602268041634
"665","fructose",2,0.0485570380969885
"666","fructose",3,0.0458602832828469
"667","glucose",1,0.0364756178751287
"668","glucose",2,0.0442265261030167
"669","glucose",3,0
"670","sucrose",1,0.042779264153045
"671","sucrose",2,0.0787806510551795
"672","sucrose",3,0.0495103844009034
"673","control",1,0.0302820494383304
"674","control",2,0
"675","control",3,0.0400098832918336
"676","Sigma Dahlia",1,0.0120418987994377
"677","Sigma Dahlia",2,0.0128311376666308
"678","Sigma Dahlia",3,0.0126270176059007
"679","NOW",1,0.0206454430428644
"680","NOW",2,0.0244753037323885
"681","NOW",3,0.0225192951226401
"682","Sigma Chicory",1,0.0181644801507598
"683","Sigma Chicory",2,0.0226235387870917
"684","Sigma Chicory",3,0.0251816976361324
"685","fructose",1,0.0524855447432489
"686","fructose",2,0.0465391518797152
"687","fructose",3,0.0438087487446285
"688","glucose",1,0.035661378439552
"689","glucose",2,0.0391474067867077
"690","glucose",3,0
"691","sucrose",1,0.0387326686525749
"692","sucrose",2,0.0733278920490115
"693","sucrose",3,0.044390790910698
"694","control",1,0.0277255284828192
"695","control",2,0
"696","control",3,0.0386065204116622
"697","Sigma Dahlia",1,0.0103234263379788
"698","Sigma Dahlia",2,0.00891490019591013
"699","Sigma Dahlia",3,0.00892647129455273
"700","NOW",1,0.0182195423219534
"701","NOW",2,0.0286453017692889
"702","NOW",3,0.0247318816162605
"703","Sigma Chicory",1,0.0212657940286016
"704","Sigma Chicory",2,0.0230165496823117
"705","Sigma Chicory",3,0.0200396596898718
"706","fructose",1,0.0471639612596602
"707","fructose",2,0.0365330111778048
"708","fructose",3,0.035238998899889
"709","glucose",1,0.0309456730777736
"710","glucose",2,0.0351326792847951
"711","glucose",3,0
"712","sucrose",1,0.0299212525509145
"713","sucrose",2,0.0695507073931936
"714","sucrose",3,0.0448620699957738
"715","control",1,0.0266172762591945
"716","control",2,0
"717","control",3,0.0313247213256478
"718","Sigma Dahlia",1,0.0161047418225428
"719","Sigma Dahlia",2,0.0144833249424994
"720","Sigma Dahlia",3,0.0133555365979341
"721","NOW",1,0.0160939972265654
"722","NOW",2,0.0232098164330299
"723","NOW",3,0.0197287495758404
"724","Sigma Chicory",1,0.0164661057709495
"725","Sigma Chicory",2,0.0211243637242678
"726","Sigma Chicory",3,0.0245787916394546
"727","fructose",1,0.0382958783714268
"728","fructose",2,0.0388367840548973
"729","fructose",3,0.0378970221963337
"730","glucose",1,0.0343081331831818
"731","glucose",2,0.0258811576252194
"732","glucose",3,0
"733","sucrose",1,0.0306945020066708
"734","sucrose",2,0.0684992947814913
"735","sucrose",3,0.0366063656832278
"736","control",1,0.0281508769383541
"737","control",2,0
"738","control",3,0.0334874386867114
"739","Sigma Dahlia",1,0.01940835878006
