"cond","pre.treat","rep","DP","conc"
"Bc50","con",3,"DP 32",0
"908","in",2,"DP 33",0.0354011737166968
"Bc10","con",2,"DP 33",0
"Bc10","con",3,"DP 33",0.0311152377294485
"908","con",2,"DP 33",0.0978184388159097
"908","in",3,"DP 33",0
"Bc10","con",1,"DP 33",0.113743224175002
"Bc50","in",3,"DP 33",0.040859229452806
"Bc10","in",3,"DP 33",0.149041949790064
"908","con",1,"DP 33",0.176581690283513
"908","in",1,"DP 33",0.0377882371037095
"Bc50","con",2,"DP 33",0.0169218235823784
"Bc10","in",1,"DP 33",0.129423096035133
"Bc50","in",2,"DP 33",0.0409986766791727
"Bc10","in",2,"DP 33",0.135785137934734
"Bc50","in",1,"DP 33",0
"908","con",3,"DP 33",0.160120354655057
"Bc50","con",1,"DP 33",0
"Bc50","con",3,"DP 33",0
"908","in",2,"DP 34",0.00626003321253964
"Bc10","con",2,"DP 34",-0.0221934504950828
"Bc10","con",3,"DP 34",0.00698053777700033
"908","con",2,"DP 34",0.0651077181152658
"908","in",3,"DP 34",-0.0221934504950828
"Bc10","con",1,"DP 34",0.0683203472921786
"Bc50","in",3,"DP 34",0.00840550336108847
"Bc10","in",3,"DP 34",0.106475093839046
"908","con",1,"DP 34",0.12984460647681
"908","in",1,"DP 34",0.00839686515076996
"Bc50","con",2,"DP 34",-0.0221934504950828
"Bc10","in",1,"DP 34",0.0946127498993849
"Bc50","in",2,"DP 34",0.0042348149960623
"Bc10","in",2,"DP 34",0.089403751017371
"Bc50","in",1,"DP 34",0.00353188783497503
"908","con",3,"DP 34",0.11944947694869
"Bc50","con",1,"DP 34",-0.0112748874110811
"Bc50","con",3,"DP 34",-0.0108134921279306
"908","in",2,"DP 35",0.00449062454531168
"Bc10","con",2,"DP 35",-0.021274795171407
"Bc10","con",3,"DP 35",0.0121979737071628
"908","con",2,"DP 35",0.071186453418113
"908","in",3,"DP 35",-0.0107992906020901
"Bc10","con",1,"DP 35",0.122806149800886
"Bc50","in",3,"DP 35",0.0166390814499324
"Bc10","in",3,"DP 35",0.156800458268648
"908","con",1,"DP 35",0.139579401786504
"908","in",1,"DP 35",0.0342664722043417
"Bc50","con",2,"DP 35",-0.00788509218697547
"Bc10","in",1,"DP 35",0.103476066494178
"Bc50","in",2,"DP 35",0.0341997050512326
"Bc10","in",2,"DP 35",0.0980811650614072
"Bc50","in",1,"DP 35",0.0108320647369722
"908","con",3,"DP 35",0.11871658545937
"Bc50","con",1,"DP 35",-0.00691877525205686
"Bc50","con",3,"DP 35",-0.006981859761929
"908","in",2,"DP 36",0.0145258707465195
"Bc10","con",2,"DP 36",-0.0163370532043631
"Bc10","con",3,"DP 36",0.0226593932449533
"908","con",2,"DP 36",0.0771553453416832
"908","in",3,"DP 36",-0.00423396503656005
"Bc10","con",1,"DP 36",0.102385346502946
"Bc50","in",3,"DP 36",0.0244788772132489
"Bc10","in",3,"DP 36",0.142757795683588
"908","con",1,"DP 36",0.151661783507486
"908","in",1,"DP 36",0.02549605001008
"Bc50","con",2,"DP 36",0.00425861740303332
"Bc10","in",1,"DP 36",0.125116945619821
"Bc50","in",2,"DP 36",0.0159764183705876
"Bc10","in",2,"DP 36",0.116162759893381
"Bc50","in",1,"DP 36",0.0155312757333263
"908","con",3,"DP 36",0.121202062379644
"Bc50","con",1,"DP 36",-0.0163370532043631
"Bc50","con",3,"DP 36",-0.0163370532043631
"908","in",2,"DP 37",0.00985518124755576
"Bc10","con",2,"DP 37",-0.00800482362436997
"Bc10","con",3,"DP 37",0.0222620608620193
"908","con",2,"DP 37",0.0851742687211261
"908","in",3,"DP 37",-0.00800482362436997
"Bc10","con",1,"DP 37",0.150952417910514
"Bc50","in",3,"DP 37",0.0184062302198308
"Bc10","in",3,"DP 37",0.134919940142767
"908","con",1,"DP 37",0.15664499708335
"908","in",1,"DP 37",0.0284295187863836
"Bc50","con",2,"DP 37",-0.00800482362436997
"Bc10","in",1,"DP 37",0.132345988886626
"Bc50","in",2,"DP 37",0.0206451534139353
"Bc10","in",2,"DP 37",0.129418383468675
"Bc50","in",1,"DP 37",0.0157613068882733
"908","con",3,"DP 37",0.124662173160679
"Bc50","con",1,"DP 37",-0.00800482362436997
"Bc50","con",3,"DP 37",-0.00800482362436997
"908","in",2,"DP 38",0.00155297669253113
"Bc10","con",2,"DP 38",-0.0149910902001782
"Bc10","con",3,"DP 38",0.0311674759236053
"908","con",2,"DP 38",0.088955527827988
"908","in",3,"DP 38",-0.00465053715737121
"Bc10","con",1,"DP 38",0.110779773923627
"Bc50","in",3,"DP 38",0.0168978130096485
"Bc10","in",3,"DP 38",0.118453051691239
"908","con",1,"DP 38",0.151033646424543
"908","in",1,"DP 38",0.0274496797423713
"Bc50","con",2,"DP 38",-0.00203746647147532
"Bc10","in",1,"DP 38",0.0791282982621591
"Bc50","in",2,"DP 38",0.0198139475059591
"Bc10","in",2,"DP 38",0.0905405687345941
"Bc50","in",1,"DP 38",0.0176436576405252
"908","con",3,"DP 38",0.0995335625539173
"Bc50","con",1,"DP 38",-0.00369042903536099
"Bc50","con",3,"DP 38",-0.00311552959667426
"908","in",2,"DP 39",0.0136185782594789
"Bc10","con",2,"DP 39",-0.0137696270999832
"Bc10","con",3,"DP 39",0.0366788632091677
"908","con",2,"DP 39",0.0853685205562372
"908","in",3,"DP 39",-0.0137696270999832
"Bc10","con",1,"DP 39",0.0665565745116856
"Bc50","in",3,"DP 39",-0.0137696270999832
"Bc10","in",3,"DP 39",0.0908448362857915
"908","con",1,"DP 39",0.137827899844533
"908","in",1,"DP 39",0.00900748763544989
"Bc50","con",2,"DP 39",-0.0137696270999832
"Bc10","in",1,"DP 39",0.0621480688465386
"Bc50","in",2,"DP 39",0.0020379003559246
"Bc10","in",2,"DP 39",0.0659199790727267
"Bc50","in",1,"DP 39",0.00646778094451569
"908","con",3,"DP 39",0.0898051985942981
"Bc50","con",1,"DP 39",-0.0137696270999832
"Bc50","con",3,"DP 39",-0.0137696270999832
"908","in",2,"DP 40",0.00965390430083973
"Bc10","con",2,"DP 40",-0.00838689842290088
"Bc10","con",3,"DP 40",0.0339177753830631
"908","con",2,"DP 40",0.0664149307232591
"908","in",3,"DP 40",-0.00838689842290088
"Bc10","con",1,"DP 40",-0.00838689842290088
"Bc50","in",3,"DP 40",0.00657525397933857
"Bc10","in",3,"DP 40",0.0893967440493717
"908","con",1,"DP 40",0.135051750418949
"908","in",1,"DP 40",0.0130991537415579
"Bc50","con",2,"DP 40",-0.00838689842290088
"Bc10","in",1,"DP 40",0.0661421184236282
"Bc50","in",2,"DP 40",-0.00838689842290088
"Bc10","in",2,"DP 40",0.0706876597072868
"Bc50","in",1,"DP 40",0.00868291697436383
"908","con",3,"DP 40",0.0908839309200286
"Bc50","con",1,"DP 40",-0.00838689842290088
"Bc50","con",3,"DP 40",-0.00838689842290088
"908","in",2,"DP 41",0.00686675321041707
"Bc10","con",2,"DP 41",-0.00858746558776431
"Bc10","con",3,"DP 41",0.0282235414518583
"908","con",2,"DP 41",0.0656432187777221
"908","in",3,"DP 41",-0.00858746558776431
"Bc10","con",1,"DP 41",-0.00858746558776431
"Bc50","in",3,"DP 41",-0.00858746558776431
"Bc10","in",3,"DP 41",0.08430539056372
"908","con",1,"DP 41",0.130087860364093
"908","in",1,"DP 41",0.01155377648202
"Bc50","con",2,"DP 41",-0.00858746558776431
"Bc10","in",1,"DP 41",0.0634475083108773
"Bc50","in",2,"DP 41",-0.00858746558776431
"Bc10","in",2,"DP 41",0.0676585502899389
"Bc50","in",1,"DP 41",-0.00858746558776431
"908","con",3,"DP 41",0.0884857813339589
"Bc50","con",1,"DP 41",-0.00858746558776431
"Bc50","con",3,"DP 41",-0.00858746558776431
"908","in",2,"DP 42",0.0060990274560658
"Bc10","con",2,"DP 42",-0.00882952212220716
"Bc10","con",3,"DP 42",0.0253543960233778
"908","con",2,"DP 42",0.0638989852141853
"908","in",3,"DP 42",-0.00882952212220716
"Bc10","con",1,"DP 42",-0.00882952212220716
"Bc50","in",3,"DP 42",-0.00882952212220716
"Bc10","in",3,"DP 42",0.0792952634586001
"908","con",1,"DP 42",0.120212333474216
"908","in",1,"DP 42",0.00939888720176138
"Bc50","con",2,"DP 42",-0.00882952212220716
"Bc10","in",1,"DP 42",0.0593390069484282
"Bc50","in",2,"DP 42",-0.00882952212220716
"Bc10","in",2,"DP 42",0.0661839080435249
"Bc50","in",1,"DP 42",0.00166561386586699
"908","con",3,"DP 42",0.0849482813437053
"Bc50","con",1,"DP 42",-0.00882952212220716
"Bc50","con",3,"DP 42",-0.00882952212220716
"908","in",2,"DP 43",0.0118686750968095
"Bc10","con",2,"DP 43",-0.0129925818301435
"Bc10","con",3,"DP 43",0.0294995313831924
"908","con",2,"DP 43",0.0545380856245794
"908","in",3,"DP 43",-0.0129925818301435
"Bc10","con",1,"DP 43",-0.0129925818301435
"Bc50","in",3,"DP 43",-0.0129925818301435
"Bc10","in",3,"DP 43",0.072646957534964
"908","con",1,"DP 43",0.113174412263311
"908","in",1,"DP 43",0.00550767776352858
"Bc50","con",2,"DP 43",-0.0129925818301435
"Bc10","in",1,"DP 43",0.0541553561412536
"Bc50","in",2,"DP 43",-0.0129925818301435
"Bc10","in",2,"DP 43",0.0586433196643828
"Bc50","in",1,"DP 43",-0.0129925818301435
"908","con",3,"DP 43",0.0780798047415587
"Bc50","con",1,"DP 43",-0.0129925818301435
"Bc50","con",3,"DP 43",-0.0129925818301435
"908","in",2,"DP 44",0.0135419124352951
"Bc10","con",2,"DP 44",-0.0144629430885618
"Bc10","con",3,"DP 44",0.0328358106709328
"908","con",2,"DP 44",0.0548474458610059
"908","in",3,"DP 44",-0.0144629430885618
"Bc10","con",1,"DP 44",-0.0144629430885618
"Bc50","in",3,"DP 44",0.000599505593025303
"Bc10","in",3,"DP 44",0.0643214742877
"908","con",1,"DP 44",0.107286750530979
