GeneFamily,D1H16V1,D1H16V2,D1H16V3,D1H16V4,D1H16V7,D1H16V8,D1H8V1,D1H8V2,D1H8V3,D1H8V4,D1H8V7,D1H8V8,D2H16V1,D2H16V2,D2H16V3,D2H16V4,D2H16V7,D2H16V8,D2H8V1,D2H8V2,D2H8V3,D2H8V4,D2H8V7,D2H8V8
KO:K01928,5630,5697,8953,4187,5446,4297,5910,7550,7793,6649,5642,5147,6927,6441,7136,5076,5123,5227,4760,3886,7537,4586,5005,4449
KO:K01929,4371,5603,4796,4918,5045,5266,5520,7075,3631,6048,4475,4431,9713,8243,4804,6881,7170,9217,5069,4273,4148,6227,3739,4762
KO:K01930,2963,3513,3889,3046,3584,2903,3499,5119,2852,4366,3519,3622,4997,3969,4162,2948,3434,3439,3747,2629,3362,3883,2587,2731
KO:K01932,309,278,258,360,274,164,444,935,327,688,529,362,474,249,338,95,166,176,188,181,259,141,230,213
KO:K01933,2266,3213,3925,2735,2921,3643,2420,3212,3286,3627,1914,3425,4714,3623,4169,3929,3840,4626,2293,1829,3402,2347,1814,2428
KO:K01934,996,1008,1538,1027,827,993,1186,1618,1248,1539,1018,1512,1865,1347,1284,1121,943,1130,1007,832,1108,1181,827,1158
KO:K01935,578,673,725,560,361,781,960,993,838,744,708,1321,1382,533,673,487,335,630,509,543,584,466,447,601
KO:K01937,2807,3812,6718,3926,4111,5317,2454,4514,4449,5649,2296,3605,4108,4455,5348,7094,5671,7717,2310,1852,4655,3512,1984,3226
KO:K01938,13698,13153,11493,9272,7302,9039,12598,18831,10307,10996,7738,12330,9962,17779,8025,8224,6179,8111,9251,9660,10434,12213,7281,12159
KO:K01939,4470,6346,9075,7351,7966,9519,3788,7001,4578,10703,3771,4239,6199,5989,8070,6281,8194,8499,5529,3188,7688,7960,4027,4950
KO:K01940,1042,1481,3494,1890,1777,2091,1289,1826,1582,2162,1437,1607,2987,1876,4460,2181,1748,2143,1280,1159,2243,1484,1077,1308
KO:K01941,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0
KO:K01945,2343,2742,3806,2180,2452,2246,2796,4030,3370,3783,2814,3343,4129,2840,3609,2044,1795,2202,2579,2153,3019,2210,2019,2171
KO:K01950,1899,2601,2623,2345,2737,2463,2471,4019,1787,2834,2520,2034,4259,2958,3208,3078,2711,2875,2042,2001,2409,2284,2084,1975
KO:K01951,6107,6356,14543,6623,6635,6702,7212,10229,8684,8316,6902,6733,10622,8608,11828,7430,6643,7432,5889,4792,10968,6721,5467,6284
KO:K01952,6660,8318,9124,7614,8972,8659,7255,10788,8860,12379,7187,8505,12749,8632,8041,10912,9130,10262,7128,5191,7718,9988,6294,7082
KO:K01953,874,1317,3500,1260,1316,1205,1427,1883,923,1625,1549,1463,3100,1664,5638,1270,959,1252,1229,1351,2322,1125,1164,1018
KO:K01955,6764,8421,23351,7208,8058,8549,8294,9728,10243,12070,7229,9471,17162,11343,19409,8886,10549,12207,6859,6277,16440,8359,5731,8759
KO:K01956,1754,1895,7511,1707,1372,2041,2154,2139,3009,3043,1616,2516,4214,2706,5399,1717,1947,2747,1677,1549,4482,2166,1183,2389
KO:K01958,101,93,762,134,16,94,80,152,500,233,28,99,69,164,145,75,15,112,69,80,254,124,28,151
KO:K01959,286,406,372,439,381,295,324,1014,496,532,525,343,276,556,335,173,235,153,152,249,429,293,295,290
KO:K01960,4594,4536,5916,5294,6479,5520,4575,8056,4262,8442,6533,5442,6632,5046,4512,4706,4198,4665,4038,3046,4216,4026,5060,4712
